Random,HhId,WkrId,Bzone,Azone,Marea,DistanceToWork,PaysForParking,IsCashOut,ParkingCost,IsECO
10,AMATS-5113,AMATS-5113-1,AMATS359,AMATS,AMATS,6.900340285,0,0,0,0
10,AMATS-5187,AMATS-5187-1,AMATS213,AMATS,AMATS,17.94750603,0,0,0,0
10,AMATS-5227,AMATS-5227-1,AMATS364,AMATS,AMATS,0.000134259,0,0,0,0
10,AMATS-5301,AMATS-5301-1,AMATS834,AMATS,AMATS,2.99016183,0,0,0,0
10,AMATS-5325,AMATS-5325-1,AMATS237,AMATS,AMATS,4.979286503,0,0,0,0
10,AMATS-5381,AMATS-5381-2,AMATS205,AMATS,AMATS,65.93994225,0,0,0,0
10,AMATS-5441,AMATS-5441-2,AMATS117,AMATS,AMATS,4.131735069,0,0,0,0
10,AMATS-5691,AMATS-5691-1,AMATS34,AMATS,AMATS,1.813658608,0,0,0,0
10,AMATS-5913,AMATS-5913-1,AMATS28,AMATS,AMATS,9.293055598,0,0,0,0
10,AMATS-5977,AMATS-5977-1,AMATS559,AMATS,AMATS,40.46459341,0,0,0,0
10,AMATS-5988,AMATS-5988-2,AMATS34,AMATS,AMATS,4.579802354,0,0,0,0
10,AMATS-6002,AMATS-6002-1,AMATS387,AMATS,AMATS,4.986171542,1,0,95,0
10,AMATS-6075,AMATS-6075-1,AMATS256,AMATS,AMATS,8.231031069,0,0,0,0
10,AMATS-6237,AMATS-6237-1,AMATS415,AMATS,AMATS,0.350991602,1,0,85,0
10,AMATS-6237,AMATS-6237-3,AMATS18,AMATS,AMATS,5.973144968,0,0,0,0
10,AMATS-6312,AMATS-6312-3,AMATS879,AMATS,AMATS,17.69613999,0,0,0,0
10,AMATS-6412,AMATS-6412-3,AMATS346,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-6459,AMATS-6459-1,AMATS237,AMATS,AMATS,2.697442134,0,0,0,0
10,AMATS-6498,AMATS-6498-3,AMATS528,AMATS,AMATS,3.128173768,0,0,0,0
10,AMATS-6536,AMATS-6536-2,AMATS938,AMATS,AMATS,2.618850603,0,0,0,0
10,AMATS-6541,AMATS-6541-1,AMATS364,AMATS,AMATS,38.96299776,0,0,0,0
10,AMATS-6581,AMATS-6581-1,AMATS344,AMATS,AMATS,6.892491401,0,0,0,0
10,AMATS-6618,AMATS-6618-1,AMATS528,AMATS,AMATS,53.76141054,0,0,0,0
10,AMATS-6629,AMATS-6629-1,AMATS205,AMATS,AMATS,1.823842695,0,0,0,0
10,AMATS-6650,AMATS-6650-1,AMATS199,AMATS,AMATS,1.930097669,0,0,0,0
10,AMATS-6868,AMATS-6868-5,AMATS70,AMATS,AMATS,48.69394031,0,0,0,0
10,AMATS-6902,AMATS-6902-1,AMATS528,AMATS,AMATS,43.83520687,0,0,0,0
10,AMATS-6957,AMATS-6957-2,AMATS897,AMATS,AMATS,15.68661001,0,0,0,0
10,AMATS-7050,AMATS-7050-3,AMATS28,AMATS,AMATS,13.17755871,0,0,0,0
10,AMATS-7201,AMATS-7201-2,AMATS250,AMATS,AMATS,2.235780998,0,0,0,0
10,AMATS-7217,AMATS-7217-1,AMATS166,AMATS,AMATS,1.081696994,0,0,0,0
10,AMATS-7256,AMATS-7256-3,AMATS890,AMATS,AMATS,6.420563379,0,0,0,0
10,AMATS-7260,AMATS-7260-2,AMATS134,AMATS,AMATS,25.58899331,0,0,0,0
10,AMATS-7290,AMATS-7290-3,AMATS15,AMATS,AMATS,68.36749236,0,0,0,0
10,AMATS-7341,AMATS-7341-1,AMATS346,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-7403,AMATS-7403-1,AMATS528,AMATS,AMATS,47.22921894,0,0,0,0
10,AMATS-7591,AMATS-7591-2,AMATS584,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-7759,AMATS-7759-1,AMATS261,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-7853,AMATS-7853-3,AMATS96,AMATS,AMATS,3.413170278,0,0,0,0
10,AMATS-7903,AMATS-7903-2,AMATS122,AMATS,AMATS,8.542082563,0,0,0,0
10,AMATS-7951,AMATS-7951-2,AMATS196,AMATS,AMATS,3.342724994,0,0,0,0
10,AMATS-8008,AMATS-8008-3,AMATS664,AMATS,AMATS,8.307239376,0,0,0,0
10,AMATS-8055,AMATS-8055-2,AMATS364,AMATS,AMATS,3.368521824,0,0,0,0
10,AMATS-8173,AMATS-8173-1,AMATS149,AMATS,AMATS,61.1964433,0,0,0,0
10,AMATS-8208,AMATS-8208-1,AMATS528,AMATS,AMATS,67.27505363,0,0,0,0
10,AMATS-8213,AMATS-8213-2,AMATS937,AMATS,AMATS,67.39549837,0,0,0,0
10,AMATS-8215,AMATS-8215-1,AMATS74,AMATS,AMATS,29.09873198,0,0,0,0
10,AMATS-8307,AMATS-8307-4,AMATS949,AMATS,AMATS,8.671397447,0,0,0,0
10,AMATS-8318,AMATS-8318-2,AMATS57,AMATS,AMATS,36.67147183,0,0,0,0
10,AMATS-8432,AMATS-8432-1,AMATS387,AMATS,AMATS,30.24316913,1,0,95,0
10,AMATS-8535,AMATS-8535-1,AMATS579,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-8648,AMATS-8648-1,AMATS528,AMATS,AMATS,55.71376998,0,0,0,0
10,AMATS-8652,AMATS-8652-2,AMATS100,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-8665,AMATS-8665-1,AMATS205,AMATS,AMATS,5.51233086,0,0,0,0
10,AMATS-8666,AMATS-8666-1,AMATS57,AMATS,AMATS,21.37706724,0,0,0,0
10,AMATS-8730,AMATS-8730-1,AMATS277,AMATS,AMATS,12.47766248,0,0,0,0
10,AMATS-8777,AMATS-8777-1,AMATS70,AMATS,AMATS,2.539852552,0,0,0,0
10,AMATS-8806,AMATS-8806-1,AMATS58,AMATS,AMATS,21.73262574,0,0,0,0
10,AMATS-8817,AMATS-8817-2,AMATS65,AMATS,AMATS,31.14061731,0,0,0,0
10,AMATS-8857,AMATS-8857-1,AMATS221,AMATS,AMATS,9.279681781,0,0,0,0
10,AMATS-8858,AMATS-8858-1,AMATS621,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-8859,AMATS-8859-4,AMATS349,AMATS,AMATS,2.625011068,0,0,0,0
10,AMATS-8873,AMATS-8873-3,AMATS277,AMATS,AMATS,3.287666273,0,0,0,0
10,AMATS-8902,AMATS-8902-2,AMATS642,AMATS,AMATS,40.60336931,0,0,0,0
10,AMATS-8928,AMATS-8928-1,AMATS48,AMATS,AMATS,12.49536874,0,0,0,0
10,AMATS-9011,AMATS-9011-2,AMATS213,AMATS,AMATS,1.047986434,0,0,0,0
10,AMATS-9023,AMATS-9023-2,AMATS57,AMATS,AMATS,13.41414422,0,0,0,0
10,AMATS-9032,AMATS-9032-1,AMATS476,AMATS,AMATS,3.761660775,0,0,0,0
10,AMATS-9058,AMATS-9058-3,AMATS634,AMATS,AMATS,0.75478902,0,0,0,0
10,AMATS-9163,AMATS-9163-1,AMATS97,AMATS,AMATS,0.601859459,0,0,0,0
10,AMATS-9178,AMATS-9178-1,AMATS814,AMATS,AMATS,5.974434797,0,0,0,0
10,AMATS-9268,AMATS-9268-2,AMATS126,AMATS,AMATS,5.520925243,0,0,0,0
10,AMATS-9289,AMATS-9289-1,AMATS565,AMATS,AMATS,0.808747196,0,0,0,0
10,AMATS-9310,AMATS-9310-1,AMATS450,AMATS,AMATS,4.583427368,1,0,50,0
10,AMATS-9360,AMATS-9360-2,AMATS662,AMATS,AMATS,3.981102853,0,0,0,0
10,AMATS-9370,AMATS-9370-1,AMATS559,AMATS,AMATS,34.82737136,0,0,0,0
10,AMATS-9565,AMATS-9565-2,AMATS92,AMATS,AMATS,5.307886508,0,0,0,0
10,AMATS-9572,AMATS-9572-1,AMATS44,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-9889,AMATS-9889-1,AMATS57,AMATS,AMATS,11.86825665,0,0,0,0
10,AMATS-9934,AMATS-9934-2,AMATS298,AMATS,AMATS,35.76060257,0,0,0,0
10,AMATS-10022,AMATS-10022-1,AMATS473,AMATS,AMATS,15.24408021,0,0,0,0
10,AMATS-10031,AMATS-10031-1,AMATS70,AMATS,AMATS,65.24626919,0,0,0,0
10,AMATS-10085,AMATS-10085-1,AMATS333,AMATS,AMATS,2.933281603,0,0,0,0
10,AMATS-10113,AMATS-10113-1,AMATS241,AMATS,AMATS,55.82580402,0,0,0,0
10,AMATS-10153,AMATS-10153-2,AMATS33,AMATS,AMATS,4.666252382,0,0,0,0
10,AMATS-10258,AMATS-10258-2,AMATS364,AMATS,AMATS,0.000134259,0,0,0,0
10,AMATS-10339,AMATS-10339-2,AMATS569,AMATS,AMATS,17.55262916,0,0,0,0
10,AMATS-10380,AMATS-10380-1,AMATS205,AMATS,AMATS,5.160786961,0,0,0,0
10,AMATS-10784,AMATS-10784-2,AMATS284,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-10812,AMATS-10812-1,AMATS667,AMATS,AMATS,41.71929655,0,0,0,0
10,AMATS-10834,AMATS-10834-1,AMATS387,AMATS,AMATS,69.85185327,1,0,95,0
10,AMATS-10963,AMATS-10963-1,AMATS97,AMATS,AMATS,1.134009531,0,0,0,0
10,AMATS-10987,AMATS-10987-3,AMATS102,AMATS,AMATS,1.136009435,0,0,0,0
10,AMATS-11078,AMATS-11078-2,AMATS327,AMATS,AMATS,7.387445371,0,0,0,0
10,AMATS-11357,AMATS-11357-1,AMATS318,AMATS,AMATS,6.758328818,0,0,0,0
10,AMATS-11400,AMATS-11400-2,AMATS658,AMATS,AMATS,29.40650709,0,0,0,0
10,AMATS-11476,AMATS-11476-1,AMATS386,AMATS,AMATS,32.71540988,1,0,95,0
10,AMATS-11552,AMATS-11552-1,AMATS568,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-11556,AMATS-11556-2,AMATS242,AMATS,AMATS,53.56648241,0,0,0,0
10,AMATS-11618,AMATS-11618-3,AMATS208,AMATS,AMATS,63.68479357,0,0,0,0
10,AMATS-11701,AMATS-11701-1,AMATS128,AMATS,AMATS,3.26569503,0,0,0,0
10,AMATS-11829,AMATS-11829-2,AMATS212,AMATS,AMATS,5.251032347,0,0,0,0
10,AMATS-11845,AMATS-11845-1,AMATS237,AMATS,AMATS,0.689868689,0,0,0,0
10,AMATS-11847,AMATS-11847-1,AMATS219,AMATS,AMATS,9.576159102,0,0,0,0
10,AMATS-12036,AMATS-12036-2,AMATS559,AMATS,AMATS,11.67640219,0,0,0,0
10,AMATS-12169,AMATS-12169-2,AMATS450,AMATS,AMATS,6.030851298,1,0,50,0
10,AMATS-12197,AMATS-12197-1,AMATS415,AMATS,AMATS,8.55052294,1,0,85,0
10,AMATS-12354,AMATS-12354-1,AMATS58,AMATS,AMATS,2.735172505,0,0,0,0
10,AMATS-12471,AMATS-12471-1,AMATS138,AMATS,AMATS,28.43778106,0,0,0,0
10,AMATS-12494,AMATS-12494-2,AMATS205,AMATS,AMATS,71.99615714,0,0,0,0
10,AMATS-12540,AMATS-12540-1,AMATS880,AMATS,AMATS,5.026084084,0,0,0,0
10,AMATS-12609,AMATS-12609-1,AMATS490,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-12627,AMATS-12627-1,AMATS367,AMATS,AMATS,38.83356265,0,0,0,0
10,AMATS-12743,AMATS-12743-1,AMATS44,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-12786,AMATS-12786-2,AMATS576,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-12823,AMATS-12823-3,AMATS312,AMATS,AMATS,1.497250493,0,0,0,0
10,AMATS-12865,AMATS-12865-2,AMATS129,AMATS,AMATS,2.969462226,0,0,0,0
10,AMATS-12873,AMATS-12873-2,AMATS277,AMATS,AMATS,4.118128918,0,0,0,0
10,AMATS-12939,AMATS-12939-2,AMATS120,AMATS,AMATS,8.902946647,0,0,0,0
10,AMATS-12980,AMATS-12980-1,AMATS412,AMATS,AMATS,1.654144796,1,0,85,0
10,AMATS-13197,AMATS-13197-2,AMATS667,AMATS,AMATS,13.54361382,0,0,0,0
10,AMATS-13287,AMATS-13287-1,AMATS265,AMATS,AMATS,3.590863787,0,0,0,0
10,AMATS-13334,AMATS-13334-2,AMATS332,AMATS,AMATS,7.186567439,0,0,0,0
10,AMATS-13336,AMATS-13336-1,AMATS944,AMATS,AMATS,28.49026101,0,0,0,0
10,AMATS-13542,AMATS-13542-1,AMATS156,AMATS,AMATS,3.485698207,0,0,0,0
10,AMATS-13543,AMATS-13543-1,AMATS237,AMATS,AMATS,7.228330627,0,0,0,0
10,AMATS-13701,AMATS-13701-3,AMATS57,AMATS,AMATS,16.37406865,0,0,0,0
10,AMATS-13738,AMATS-13738-1,AMATS535,AMATS,AMATS,0.404348904,0,0,0,0
10,AMATS-13745,AMATS-13745-1,AMATS289,AMATS,AMATS,2.540729154,0,0,0,0
10,AMATS-13798,AMATS-13798-1,AMATS177,AMATS,AMATS,3.634134743,0,0,0,0
10,AMATS-13851,AMATS-13851-1,AMATS335,AMATS,AMATS,7.455240225,0,0,0,0
10,AMATS-13897,AMATS-13897-2,AMATS559,AMATS,AMATS,10.39217129,0,0,0,0
10,AMATS-14008,AMATS-14008-5,AMATS114,AMATS,AMATS,1.090163643,0,0,0,0
10,AMATS-14030,AMATS-14030-2,AMATS325,AMATS,AMATS,40.33346265,0,0,0,0
10,AMATS-14084,AMATS-14084-1,AMATS28,AMATS,AMATS,4.410211233,0,0,0,0
10,AMATS-14125,AMATS-14125-1,AMATS538,AMATS,AMATS,54.04773839,0,0,0,0
10,AMATS-14127,AMATS-14127-1,AMATS290,AMATS,AMATS,5.900107718,0,0,0,0
10,AMATS-14150,AMATS-14150-1,AMATS935,AMATS,AMATS,18.89220107,0,0,0,0
10,AMATS-14313,AMATS-14313-1,AMATS140,AMATS,AMATS,41.31897444,0,0,0,0
10,AMATS-14383,AMATS-14383-1,AMATS933,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-14385,AMATS-14385-2,AMATS40,AMATS,AMATS,19.14018406,0,0,0,0
10,AMATS-14391,AMATS-14391-2,AMATS59,AMATS,AMATS,4.197868514,1,0,40,0
10,AMATS-14414,AMATS-14414-1,AMATS143,AMATS,AMATS,9.49E-05,0,0,0,0
10,AMATS-14505,AMATS-14505-2,AMATS853,AMATS,AMATS,8.246499768,0,0,0,0
10,AMATS-14510,AMATS-14510-1,AMATS247,AMATS,AMATS,49.5410264,0,0,0,0
10,AMATS-14659,AMATS-14659-3,AMATS528,AMATS,AMATS,6.093677658,0,0,0,0
10,AMATS-14690,AMATS-14690-1,AMATS150,AMATS,AMATS,32.99608935,0,0,0,0
10,AMATS-14731,AMATS-14731-1,AMATS239,AMATS,AMATS,6.952553032,0,0,0,0
10,AMATS-14769,AMATS-14769-1,AMATS57,AMATS,AMATS,26.07162167,0,0,0,0
10,AMATS-14815,AMATS-14815-1,AMATS598,AMATS,AMATS,2.214080876,0,0,0,0
10,AMATS-14933,AMATS-14933-2,AMATS657,AMATS,AMATS,2.051529907,0,0,0,0
